公告,#genre#
CCTV4,http://113.17.153.30:8001/rtp/239.81.0.96:4056$LR•IPV4『线路14』
CCTV4,http://222.95.12.2:4022/rtp/239.49.8.51:9806$LR•IPV4『线路15』
CCTV4,http://115.45.243.189:8888/rtp/239.77.0.78:5146$LR•IPV4『线路16』
CCTV4,http://115.45.243.189:8888/rtp/239.77.1.163:5146$LR•IPV4『线路17』
CCTV4,http://115.45.243.189:8888/rtp/239.77.1.166:5146$LR•IPV4『线路18』
CCTV4,http://220.190.84.171:8888/rtp/233.50.200.101:5140$LR•IPV4『线路19』
CCTV4,http://183.30.202.6:8000/rtp/239.77.0.78:5146$LR•IPV4『线路20』
CCTV4,http://183.30.202.6:8000/rtp/239.77.1.163:5146$LR•IPV4『线路21』
CCTV4,http://183.30.202.6:8000/rtp/239.77.1.166:5146$LR•IPV4『线路22』
CCTV4,http://180.111.29.214:8888/rtp/239.49.8.51:9806$LR•IPV4『线路23』
CCTV4,http://180.127.133.148:4000/rtp/239.49.8.51:9806$LR•IPV4『线路24』
CCTV4,http://112.226.103.48:4000/rtp/239.253.254.187:8000$LR•IPV4『线路25』
CCTV4,http://39.77.22.208:4001/rtp/239.253.254.187:8000$LR•IPV4『线路26』
CCTV4,http://223.93.142.35:4022/rtp/233.50.200.101:5140$LR•IPV4『线路27』
CCTV4,http://171.119.207.208:6000/rtp/226.0.2.156:9160$LR•IPV4『线路28』
CCTV4,http://220.176.218.76:9000/rtp/239.252.220.184:5140$LR•IPV4『线路29』
CCTV4,http://59.34.28.21:4022/rtp/239.77.0.78:5146$LR•IPV4『线路30』
CCTV4,http://59.34.28.21:4022/rtp/239.77.1.163:5146$LR•IPV4『线路31』
CCTV4,http://59.34.28.21:4022/rtp/239.77.1.166:5146$LR•IPV4『线路32』
CCTV4,http://116.9.34.165:4000/rtp/239.81.0.96:4056$LR•IPV4『线路33』
CCTV4,http://180.114.117.42:8333/rtp/239.49.8.51:9806$LR•IPV4『线路34』
CCTV4,http://121.226.92.73:4022/rtp/239.49.8.51:9806$LR•IPV4『线路35』
CCTV4,http://114.228.33.206:8095/rtp/239.49.8.51:9806$LR•IPV4『线路36』
CCTV4,http://115.220.140.122:8888/rtp/233.50.200.101:5140$LR•IPV4『线路37』
CCTV4,http://183.184.43.254:8001/rtp/226.0.2.156:9160$LR•IPV4『线路38』
CCTV4,http://221.222.79.96:9999/rtp/239.3.1.105:8092$LR•IPV4『线路39』
CCTV4,http://171.117.109.106:89/rtp/226.0.2.156:9160$LR•IPV4『线路40』
CCTV4,http://125.113.56.15:8001/rtp/233.50.200.101:5140$LR•IPV4『线路41』
CCTV4,http://123.120.7.139:4022/rtp/239.3.1.105:8092$LR•IPV4『线路42』
CCTV4,http://182.123.209.199:12345/rtp/225.1.5.30:1333$LR•IPV4『线路43』
CCTV4,http://221.232.41.227:8888/rtp/239.69.1.138:10466$LR•IPV4『线路44』
CCTV4,http://114.248.6.123:8888/rtp/239.3.1.105:8092$LR•IPV4『线路45』
CCTV4,http://117.86.48.47:7777/rtp/239.49.8.51:9806$LR•IPV4『线路46』
CCTV4,http://183.164.237.101:8888/rtp/238.1.78.236:7760$LR•IPV4『线路47』
CCTV5,http://60.176.87.174:8888/rtp/233.50.200.108:5140$LR•IPV4『线路1』
CCTV5,http://60.176.87.174:8888/rtp/233.50.201.194:5140$LR•IPV4『线路2』
CCTV5,http://114.238.59.115:4000/rtp/239.49.8.75:8000$LR•IPV4『线路3』
CCTV5,http://113.66.40.167:10000/rtp/239.77.0.170:5146$LR•IPV4『线路4』
CCTV5,http://113.66.40.167:10000/rtp/239.77.1.8:5146$LR•IPV4『线路5』
CCTV5,http://112.66.99.188:8888/rtp/239.253.64.245:5140$LR•IPV4『线路6』
CCTV5,http://119.135.192.194:10000/rtp/239.77.0.170:5146$LR•IPV4『线路7』
CCTV5,http://119.135.192.194:10000/rtp/239.77.1.8:5146$LR•IPV4『线路8』
CCTV5,http://183.30.201.5:10002/rtp/239.77.0.170:5146$LR•IPV4『线路9』
CCTV5,http://183.30.201.5:10002/rtp/239.77.1.8:5146$LR•IPV4『线路10』
CCTV5,http://115.171.216.84:4000/rtp/225.1.8.89:8000$LR•IPV4『线路11』
CCTV5,http://113.17.153.30:8001/rtp/239.81.0.232:4056$LR•IPV4『线路12』
CCTV5,http://222.95.12.2:4022/rtp/239.49.8.75:8000$LR•IPV4『线路13』
CCTV5,http://115.45.243.189:8888/rtp/239.77.0.170:5146$LR•IPV4『线路14』
CCTV5,http://115.45.243.189:8888/rtp/239.77.1.8:5146$LR•IPV4『线路15』
CCTV5,http://220.190.84.171:8888/rtp/233.50.200.108:5140$LR•IPV4『线路16』
CCTV5,http://220.190.84.171:8888/rtp/233.50.201.194:5140$LR•IPV4『线路17』
CCTV5,http://183.30.202.6:8000/rtp/239.77.0.170:5146$LR•IPV4『线路18』
CCTV5,http://183.30.202.6:8000/rtp/239.77.1.8:5146$LR•IPV4『线路19』
CCTV5,http://180.111.29.214:8888/rtp/239.49.8.75:8000$LR•IPV4『线路20』
CCTV5,http://180.127.133.148:4000/rtp/239.49.8.75:8000$LR•IPV4『线路21』
CCTV5,http://112.226.103.48:4000/rtp/239.253.254.192:8000$LR•IPV4『线路22』
CCTV5,http://39.77.22.208:4001/rtp/239.253.254.192:8000$LR•IPV4『线路23』
CCTV5,http://223.93.142.35:4022/rtp/233.50.200.108:5140$LR•IPV4『线路24』
CCTV5,http://223.93.142.35:4022/rtp/233.50.201.194:5140$LR•IPV4『线路25』
CCTV5,http://171.119.207.208:6000/rtp/226.0.2.209:9584$LR•IPV4『线路26』
CCTV5,http://220.176.218.76:9000/rtp/239.252.219.198:5140$LR•IPV4『线路27』
CCTV5,http://59.34.28.21:4022/rtp/239.77.0.170:5146$LR•IPV4『线路28』
CCTV5,http://59.34.28.21:4022/rtp/239.77.1.8:5146$LR•IPV4『线路29』
CCTV5,http://116.9.34.165:4000/rtp/239.81.0.232:4056$LR•IPV4『线路30』
CCTV5,http://180.114.117.42:8333/rtp/239.49.8.75:8000$LR•IPV4『线路31』
CCTV5,http://121.226.92.73:4022/rtp/239.49.8.75:8000$LR•IPV4『线路32』
CCTV5,http://114.228.33.206:8095/rtp/239.49.8.75:8000$LR•IPV4『线路33』
CCTV5,http://115.220.140.122:8888/rtp/233.50.200.108:5140$LR•IPV4『线路34』
CCTV5,http://115.220.140.122:8888/rtp/233.50.201.194:5140$LR•IPV4『线路35』
CCTV5,http://183.184.43.254:8001/rtp/226.0.2.209:9584$LR•IPV4『线路36』
CCTV5,http://221.222.79.96:9999/rtp/239.3.1.173:8001$LR•IPV4『线路37』
CCTV5,http://171.117.109.106:89/rtp/226.0.2.209:9584$LR•IPV4『线路38』
CCTV5,http://125.113.56.15:8001/rtp/233.50.200.108:5140$LR•IPV4『线路39』
CCTV5,http://125.113.56.15:8001/rtp/233.50.201.194:5140$LR•IPV4『线路40』
CCTV5,http://123.120.7.139:4022/rtp/239.3.1.173:8001$LR•IPV4『线路41』
CCTV5,http://182.123.209.199:12345/rtp/225.1.4.159:1195$LR•IPV4『线路42』
CCTV5,http://221.232.41.227:8888/rtp/239.69.1.123:10376$LR•IPV4『线路43』
